"from","to","time","train"
"CBR","PMP","300","ORE > HHE"
"CBW","CRT","300","RAM > AFK"
"CBW","STU","300","CHX > RAM"
"CBY","HND","300","WOF > PAD"
"CBY","KGM","540","PAD > HFD"
"CCH","BAA","480","SOU > HRH"
"CCH","FSB","180","LIT > PMS"
"CCH","HAV","600","VIC > PMH"
"CCH","SOB","420","BTN > SOU"
"CDI","EXD","600","BNP > EXM"
"CDI","YEO","360","EXM > BNP"
"CDN","RHM","120","TAT > VIC"
"CDN","WME","180","PUR > TAT"
"CDS","ECR","360","REI > VIC"
"CDS","MHM","360","BDM > TBD"
"CDS","PUR","240","HRH > VIC"
"CDS","RDH","420","LBG > TON"
"CDU","GCR","960","SOU > GMV"
"CDU","YAE","840","GMV > WSB"
"CED","LBZ","240","EUS > MKC"
"CED","TRI","360","NMP > EUS"
"CEF","BUX","660","MAN > BUX"
"CEF","WBR","360","BUX > MAN"
"CEH","BHM","780","SSD > BHM"
"CEH","NUN","900","BHM > LEI"
"CET","COL","480","WON > COL"
"CET","HYH","240","WTM > WON"
"CEY","SKI","480","BDQ > SKI"
"CEY","SON","300","SKI > LDS"
"CFB","LAD","120","HYS > CHX"
"CFB","LSY","180","CHX > HYS"
"CFD","GLH","300","LDS > KNO"
"CFD","WDS","540","SHF > LDS"
"CFL","BIY","120","SKI > LDS"
"CFL","KEI","240","BDQ > SKI"
"CFN","RDA","180","AVN > BRI"
"CFN","SML","240","BRI > AVN"
"CFO","AMR","240","MYB > AVP"
"CFO","CLW","300","AYS > MYB"
"CFR","ESL","360","ROM > SAL"
"CFR","ROM","480","SAL > ROM"
"CFT","CTF","180","LUT > SEV"
"CFT","DMK","300","GLM > VIC"
"CFT","NHD","120","SEV > WHP"
"CGM","BEV","360","SHF > BDT"
"CGM","HUL","600","SCA > HUL"
"CHD","ALF","660","LIV > NRW"
"CHD","DBY","1140","SHF > STP"
"CHD","DRO","420","NOT > LDS"
"CHD","SHF","1020","NRW > LIV"
"CHE","EWE","180","LBG > EPS"
"CHE","SUO","180","GLD > VIC"
"CHF","MIK","540","YRK > LDS"
"CHF","ULL","240","SHF > YRK"
"CHG","AFK","480","VIC > AFK"
"CHG","LEN","300","CBW > VIC"
"CHH","BIG","360","HRH > BOG"
"CHH","HRH","240","BOG > VIC"
"CHK","BNI","180","WYB > WAT"
"CHK","KWB","120","WAT > WYB"
"CHL","GOM","420","RDG > RDH"
"CHL","SFR","180","RDH > RDG"
"CHN","BXB","360","SRA > BIS"
"CHN","WLC","120","BIS > SRA"
"CHO","DID","480","PAD > OXF"
"CHP","KND","300","PUR > TAT"
"CHP","WME","180","TAT > VIC"
"CHR","HNA","300","POO > WAT"
"CHR","POK","240","WAT > POO"
"CHU","BML","180","MAN > SOT"
"CHU","HTH","240","MAN > ALD"
"CHU","SPT","300","SOT > MAN"
"CHX","WAE","120","CHX > TBW"
"CHY","ASN","180","WAT > WYB"
"CHY","VIR","300","WYB > WAT"
"CIL","CRT","240","CHX > CBW"
"CIL","WYE","360","RAM > AFK"
"CIR","CMD","180","SRA > RMD"
"CIR","HHY","120","RMD > SRA"
"CIT","ESD","180","SEV > CHX"
"CIT","PET","180","CHX > SEV"
"CKL","SBS","360","CAR > BIF"
"CKL","WTH","180","BIF > CAR"
"CKN","AXM","780","SAL > EXD"
"CKN","YVJ","480","EXD > WAT"
"CLA","HSY","240","GLD > WAT"
"CLA","LRD","300","WAT > GLD"
"CLC","BRU","300","WEY > BRI"
"CLC","YVP","720","GCR > WEY"
"CLD","KCK","180","CHX > SEV"
"CLD","LBG","1260","TBW > CHX"
"CLD","ORP","180","SEV > CHX"
"CLE","GMB","420","CLE > MIA"
"CLE","NCE","180","CLE > BAU"
"CLG","HYW","120","GLD > WAT"
"CLG","OXS","180","WAT > GLD"
"CLH","WHE","360","CLH > MCV"
"CLJ","BAK","180","CAT > VIC"
"CLJ","BAL","300","VIC > LBG"
"CLJ","EAD","180","WAT > SHP"
"CLJ","ECR","540","VIC > PMH"
"CLJ","FNB","1800","WAT > POO"
"CLJ","IMW","300","CDN > WFJ"
"CLJ","QRB","180","WYB > WAT"
"CLJ","RMD","480","WAT > RDG"
"CLJ","SUO","1200","VIC > HRH"
"CLJ","SUR","600","WAT > AON"
"CLJ","VIC","660","GLD > VIC"
"CLJ","VXH","240","WAT > WAT"
"CLJ","WAT","720","EXD > WAT"
"CLJ","WNT","180","WAT > WYB"
"CLJ","WOK","1080","WAT > SAL"
"CLJ","WSW","180","MKC > ECR"
"CLJ","WWR","360","CLJ > DLJ"
"CLK","ELE","180","CHX > HYS"
"CLK","NBC","120","HYS > CHX"
"CLL","BEX","120","VIC > HGS"
"CLL","COB","180","ORE > HHE"
"CLM","NCT","600","LCN > LEI"
"CLM","NNG","540","GMB > NNG"
"CLM","SWD","300","NNG > LCN"
"CLN","ELR","300","SHF > LDS"
"CLN","MHS","480","HUD > SHF"
"CLN","WOM","360","SHF > HUD"
"CLP","DMK","300","CLJ > DLJ"
"CLP","WWR","120","DLJ > CLJ"
"CLS","DHM","360","NCL > LIV"
"CLT","TLS","480","CLT > COL"
"CLV","HTN","300","SAV > LMS"
"CLW","CFO","240","MYB > AVP"
"CLW","RIC","360","AYS > MYB"
"CLY","NMC","360","SHF > MAN"
"CMB","CBG","480","NRW > CBG"
"CMB","ELY","840","KGX > ELY"
"CMD","CIR","180","RMD > SRA"
"CMD","KTW","120","SRA > RMD"
"CMF","MTB","120","NCT > MAT"
"CMF","WTS","300","MAT > NCT"
"CMR","RNR","360","SHM > NRW"
"CMR","WRN","300","NRW > SHM"
"CNE","NEL","300","CNE > PRE"
"CNF","LAN","720","LDS > MCM"
"CNF","SVR","360","MIA > BIF"
"CNG","KDG","360","MAN > SOT"
"CNG","MAC","420","SOT > MAN"
"CNL","COV","180","BHM > NMP"
"CNL","THL","180","EUS > BHM"
"CNM","ASC","480","SOU > GMV"
"CNM","BPW","1680","MAN > PGN"
"CNM","GCR","540","GMV > WSB"
"CNN","DLK","120","RMD > SRA"
"CNN","HHY","120","SRA > RMD"
"CNO","MDN","660","GCR > WEY"
"CNO","YET","180","WEY > BRI"
"CNP","BKP","180","WKI > WKI"
"CNP","BKQ","120","WKI > WKI"
"CNS","DON","480","LCN > AWK"
"CNS","MEX","240","SCU > SHF"
"CNY","BDA","360","LWT > NRW"
"CNY","REE","240","NRW > LWT"
"COB","CLL","180","VIC > HGS"
"COB","NSB","180","ORE > BTN"
"COB","PEV","360","ORE > HHE"
"COE","SKN","360","LSK > LOO"
"COH","BXD","360","LBG > UCK"
"COH","ERI","300","UCK > LBG"
"COL","CET","420","COL > CET"
"COM","KLD","420","WTB > MBR"
"COO","BNE","240","MAI > BNE"
"COO","FZP","180","MLW > MAI"
"COP","MRD","180","EXM > BNP"
"COP","YEO","240","BNP > EXM"
"COR","KET","540","COR > KET"
"COR","OKM","1260","COR > DBY"
"COS","ALB","180","SHR > BHM"
"COS","SFN","300","BHM > SHR"
"COT","LDS","540","HBD > LDS"
"COT","MLY","240","LDS > HUD"
"COV","BHI","600","BMH > MAN"
"COV","CAA","420","COV > NUN"
"COV","CNL","180","EUS > BHM"
"COV","LMS","720","MAN > BMH"
"COV","RUG","600","BHM > NMP"
"CPK","BSH","180","EUS > WFJ"
"CPK","HTE","180","WFJ > EUS"
"CPM","BTH","720","PAD > BRI"
"CPM","MKM","540","SWI > WSB"
"CPM","SWI","840","PNZ > PAD"
"CPU","BAC","300","CTR > CTR"
"CPU","HOO","300","CTR > LVC"
"CPY","BEN","360","LDS > MCM"
"CRA","LYE","180","SAV > SBJ"
"CRA","OHL","240","WOF > WTE"
"CRA","ROW","360","WOS > DDG"
"CRA","SBJ","300","LMS > WOS"
"CRB","HEX","480","MBR > HEX"
"CRB","RDM","240","HEX > MBR"
"CRD","ERD","180","LTV > RDC"
"CRD","WYL","60","RDC > FOK"
"CRE","ASG","540","CRE > EUS"
"CRE","CTR","1380","CRE > CTR"
"CRE","HTF","600","BHM > LIV"
"CRE","SDB","420","CRE > MAN"
"CRE","STA","1320","LIV > BHM"
"CRE","WML","960","EUS > MAN"
"CRE","WSF","540","WSL > LIV"
"CRG","GRF","240","PRE > YRK"
"CRG","LDS","480","YRK > LDS"
"CRH","FPK","420","GPO > SVS"
"CRH","UHL","540","SVS > GPO"
"CRI","HEN","180","SEV > SAC"
"CRI","WHP","120","SAC > SUO"
"CRL","ADL","300","PRE > HUD"
"CRL","BON","780","PRE > MCO"
"CRL","BSV","240","HAZ > PRE"
"CRL","PRE","1020","MIA > PRE"
"CRM","MAS","780","MPT > NCL"
"CRM","MPT","540","NCL > MPT"
"CRN","SND","180","RDG > SFR"
"CRN","WKM","300","SFR > RDG"
"CRT","CBW","480","CHX > CBW"
"CRT","CIL","180","RAM > AFK"
"CRW","HRH","480","VIC > PMH"
"CRW","IFI","120","LBG > HRH"
"CRW","TBD","180","BOG > VIC"
"CRY","BXY","180","CRY > CHX"
"CRY","DFD","300","CHX > GRV"
"CSA","HAV","360","SOU > HRH"
"CSA","HLS","300","SOU > PMS"
"CSA","PTC","240","BTN > SOU"
"CSB","WLT","180","EPS > LBG"
"CSD","EFF","240","WAT > GLD"
"CSD","OXS","240","GLD > WAT"
"CSG","AIG","120","HNX > SOP"
"CSG","LPY","180","SOP > HNX"
"CSH","HCB","180","GLD > VIC"
"CSH","SUO","180","SAC > SUO"
"CSK","BAS","420","GSL > PLY"
"CSK","GSL","780","PLY > GSL"
"CSL","ALB","240","BHM > SHR"
"CSL","BBK","120","SHR > BHM"
"CSM","COM","240","WTB > MBR"
"CSN","CSS","300","WAT > CSS"
"CSN","TOL","180","CSS > WAT"
"CSO","PRE","960","OMS > PRE"
"CSO","RUF","300","PRE > OMS"
"CSR","URM","120","LIV > MCO"
"CSS","CSN","120","CSS > WAT"
"CSW","HNB","240","VIC > RAM"
"CSW","WHI","180","RAM > VIC"
"CSY","BHM","780","LIV > BHM"
"CSY","TIP","180","WVH > WSL"
"CSY","WVH","360","WSL > WVH"
"CTF","BGM","120","LUT > SEV"
"CTF","BMS","540","SAC > SEV"
"CTF","CFT","180","SEV > WHP"
"CTF","DMK","360","SEV > KTN"
"CTF","PMR","300","SEV > BDM"
"CTK","BFR","180","SAC > SUO"
"CTK","ZFD","240","SEV > WHP"
"CTL","HMM","180","LDS > YRK"
"CTM","GLM","420","CHX > GLM"
"CTM","RTR","180","DVP > VIC"
"CTN","BKH","240","GLM > CHX"
"CTN","WWA","240","CHX > GLM"
"CTO","BUJ","240","NOT > NCT"
"CTO","LOW","360","MAT > NCT"
"CTO","NOT","540","NCT > MAT"
"CTR","BAC","180","CTR > LVC"
"CTR","CRE","1380","CTR > CRE"
"CTR","HSB","600","CTR > MAN"
"CTR","MLD","720","CTR > SPT"
"CTW","ACR","180","PRE > CNE"
"CTW","RIS","180","CNE > PRE"
"CUD","DLM","240","MAN > CTR"
"CUD","GBK","240","CTR > SPT"
"CUX","HAI","240","SOO > TON"
"CUX","SOO","240","TON > SOO"
"CWC","MKT","360","SUY > MKT"
"CWD","LAG","180","WRK > NOT"
"CWD","WWL","180","NOT > WRK"
"CWE","ALP","360","SHF > SCU"
"CWE","TNS","480","SCU > SHF"
"CWL","GMV","240","HFD > BHM"
"CWL","LED","420","PAD > HFD"
"CWN","AHS","240","LBG > UCK"
"CWN","HEV","240","UCK > LBG"
"CWU","BAT","240","ORE > CHX"
"CYP","BIK","300","LBG > BKJ"
"CYP","GIP","120","LBG > VIC"
"CYP","SYD","180","VIC > LBG"
"CYT","MLH","180","PRE > CNE"
"CYT","PLS","120","CNE > PRE"
"DAN","SHF","600","LCN > AWK"
"DAN","WDH","300","SCU > LCN"
"DAR","DHM","900","WIN > NCL"
"DAR","DND","300","BIA > SLB"
"DAR","NRD","180","SLB > BIA"
"DAR","NTR","660","NCL > LIV"
"DBD","PNS","420","HUD > SHF"
"DBD","SPY","300","SHF > HUD"
"DBG","DEN","360","ROM > SAL"
"DBG","ROM","300","SAL > ROM"
"DBR","TRM","540","IPS > FLX"
"DBR","WFI","300","FLX > IPS"
"DBY","BUT","660","NOT > BHM"
"DBY","CHD","1080","STP > SHF"
"DBY","DFI","420","NCT > MAT"
"DBY","LGE","540","BHM > NOT"
"DBY","PEA","180","DBY > CRE"
"DBY","SHF","1680","WIN > NCL"
"DBY","SPO","300","MAT > NCT"
"DCH","MTN","420","WEY > WAT"
"DCH","WEY","540","WAT > WEY"
"DCW","MDN","600","WEY > BRI"
"DCW","UPW","480","GCR > WEY"
"DDG","STY","1440","BSW > SAV"
"DDG","WMR","300","LMS > WOS"
"DDG","WRP","540","KID > MYB"
"DDP","SAD","240","WVH > WSL"
"DDP","TIP","120","WSL > WVH"
"DEA","WAM","180","RAM > CHX"
"DEN","DBG","360","SAL > ROM"
"DEN","SAL","780","ROM > SAL"
"DEW","BTL","180","HBD > LDS"
"DEW","HUD","480","SCA > LIV"
"DEW","LDS","780","LIV > SCA"
"DEW","RVN","180","LDS > HUD"
"DFD","BNH","420","DFD > VIC"
"DFD","GNH","240","CHX > GLM"
"DFD","SCG","240","CHX > GRV"
"DFD","SGR","240","GLM > CHX"
"DFI","BLP","300","NCT > MAT"
"DFI","DBY","480","MAT > NCT"
"DGC","GER","240","MYB > HWY"
"DGT","MCO","120","LIV > MCO"
"DGT","SLD","180","HAZ > PRE"
"DGT","TRA","300","MCO > LIV"
"DHM","DAR","1020","NCL > LIV"
"DHM","NCL","780","WIN > NCL"
"DHN","HUD","300","LDS > HUD"
"DHN","MIR","240","HUD > WKF"
"DID","RAD","420","PAD > OXF"
"DID","RDG","780","CNM > PAD"
"DID","SWI","1080","PAD > CNM"
"DIG","NCO","120","PGN > EXM"
"DIG","POL","180","EXM > PGN"
"DKG","HRH","960","VIC > HRH"
"DKT","DPD","180","RDG > RDH"
"DKT","GOM","420","RDH > RDG"
"DLH","TOK","180","AFK > HGS"
"DLJ","HGG","60","DLJ > NWX"
"DLK","CNN","120","SRA > RMD"
"DLK","HKC","120","RMD > SRA"
"DLM","CUD","300","CTR > SPT"
"DLM","MLD","240","MAN > CTR"
"DLS","CAR","900","BIF > CAR"
"DLS","WGT","600","CAR > WTH"
"DLT","BIF","840","MIA > BIF"
"DLT","ROO","360","MCO > BIF"
"DLT","ULV","480","BIF > PRE"
"DMH","WSB","360","SOU > GMV"
"DMK","BMS","1200","VIC > RTR"
"DMK","CLP","240","DLJ > CLJ"
"DMK","CTF","420","SAC > SEV"
"DMK","EPH","360","SEV > WHP"
"DMK","PMR","180","LUT > SEV"
"DMK","VIC","720","GLM > VIC"
"DMP","BSR","180","RAM > VIC"
"DMP","RAM","180","VIC > RAM"
"DMS","EGR","300","VIC > EGR"
"DMS","LFD","180","EGR > VIC"
"DND","ALW","420","BIA > SLB"
"DND","DAR","540","SLB > DAR"
"DNG","KCK","300","SEV > CHX"
"DNG","SEV","300","CHX > SEV"
"DNM","DGC","120","MYB > HWY"
"DNM","SRU","300","HWY > MYB"
"DNT","RHD","600","CAR > LDS"
"DNY","CSM","180","WTB > MBR"
"DOC","DPT","180","GSL > PLY"
"DOC","KEY","120","PLY > GSL"
"DOD","BNY","360","HUD > SHF"
"DOD","SLK","180","SHF > HUD"
"DON","BYK","240","LCN > AWK"
"DON","CNS","420","SCU > SHF"
"DON","GOO","1140","SHF > BDT"
"DON","GRA","1800","HGT > KGX"
"DON","KGX","6120","BDI > KGX"
"DON","KKS","420","SHF > SCU"
"DON","MHS","1140","BDT > SHF"
"DON","RET","780","HUL > KGX"
"DON","SCU","1500","MIA > CLE"
"DON","WKF","1020","KGX > LDS"
"DON","YRK","1260","WIN > NCL"
"DOR","GRN","420","SHF > MAN"
"DOW","LTP","540","KLN > KGX"
"DOW","WTG","360","KGX > KLN"
"DPD","BTO","300","RDG > RDH"
"DPD","DKT","120","RDH > RDG"
"DPT","DOC","60","PLY > GSL"
"DPT","PLY","360","GSL > PLY"
"DRF","HUT","300","SCA > HUL"
"DRF","NFN","240","SHF > BDT"
"DRG","CBP","120","WEA > GFD"
"DRG","WEA","180","GFD > WEA"
"DRI","RAV","240","CAR > BIF"
"DRI","SSC","240","BIF > CAR"
"DRO","CHD","360","LDS > NOT"
"DRO","SHF","720","NOT > LDS"
"DRT","WKK","660","SHF > LDS"
"DSL","HAZ","600","BUX > MAN"
"DSL","NMN","180","MAN > BUX"
"DSM","HAS","540","IPS > LWT"
"DSM","SAX","480","LWT > IPS"
"DSY","ATN","240","SOP > MCV"
"DSY","HGF","180","KIR > SYB"
"DSY","HIN","240","MCV > KIR"
"DTG","BDB","240","MAN > MAN"
"DTG","HDF","120","MAN > MAN"
"DTW","BMV","540","HFD > BHM"
"DTW","HBY","420","WOF > WTE"
"DTW","KID","600","WOS > DDG"
"DTW","WOF","540","WTE > GMV"
"DTW","WOS","600","LMS > WOS"
"DUD","AST","180","RDC > FOK"
"DUD","BHM","420","WSL > WVH"
"DUL","CBG","1080","HPQ > CBG"
"DUL","NMK","300","CBG > IPS"
"DUR","ANG","300","BTN > BOG"
"DUR","GBS","180","BTN > LIT"
"DUR","WWO","120","SOU > BTN"
"DVN","SPT","480","HAZ > PRE"
"DVN","WSR","120","PRE > HAZ"
"DVP","FKC","600","RAM > CHX"
"DVP","KSN","240","DVP > VIC"
"DWL","DWW","240","PGN > EXM"
"DWL","SCS","360","PGN > PAD"
"DWL","TGM","300","EXM > PGN"
"DWN","BBN","480","MCV > CLH"
"DWN","BMC","660","BBN > MCV"
"DWN","ENT","420","CLH > MCV"
"DWW","DWL","240","EXM > PGN"
"DWW","SCS","240","PGN > EXM"
"DZY","HNL","300","SBJ > SAV"
"DZY","WDE","240","SAV > SBJ"
"EAD","CLJ","180","WAT > WAT"
"EAD","WAT","960","RAY > WAT"
"EAD","WIM","240","WAT > SHP"
"EAG","ALW","120","SLB > DAR"
"EAG","HPL","1500","KGX > SUN"
"EAG","NTR","1080","SUN > KGX"
"EAG","TBY","300","BIA > SLB"
"EAL","AML","180","HAY > PAD"
"EAL","PAD","600","RDG > PAD"
"EAL","STL","300","PAD > RDG"
"EAL","WEA","120","PAD > HAY"
"EAR","RDG","480","WAT > RDG"
"EAR","WTI","120","RDG > WAT"
"EBA","LEY","300","LIV > PRE"
"EBA","WGN","540","PRE > LIV"
"EBN","HMD","240","VIC > HGS"
"EBN","PEV","480","BTN > AFK"
"EBN","PLG","360","HGS > LWS"
"EBR","GDN","420","TON > VIC"
"EBR","PHR","420","LBG > TON"
"EBT","HEV","240","LBG > UCK"
"EBT","HUR","420","UCK > LBG"
"ECC","MCV","720","LIV > MCV"
"ECC","PAT","180","MCV > LIV"
"ECL","PSC","120","WGN > LIV"
"ECL","THH","180","LIV > WGN"
"ECR","BFR","1620","TBD > BDM"
"ECR","CDS","600","LBG > TON"
"ECR","CLJ","600","LIT > VIC"
"ECR","EPH","1560","BTN > BDM"
"ECR","GTW","900","BDM > BTN"
"ECR","LBG","1320","UCK > LBG"
"ECR","NWD","300","HRH > LBG"
"ECR","OXT","1080","LBG > UCK"
"ECR","PUR","360","BDM > TBD"
"ECR","RDH","720","VIC > PMH"
"ECR","SCY","180","LBG > CAT"
"ECR","SNR","300","VIC > EGR"
"ECR","SRS","180","CAT > VIC"
"EDG","LIV","300","MCO > LIV"
"EDG","WAV","120","LIV > WGN"
"EDL","CLY","480","SHF > MAN"
"EDN","ELE","240","HYS > CHX"
"EDW","NDL","120","LBG > WIM"
"EDW","PMR","120","WIM > LBG"
"EDY","BNA","120","MIA > MAN"
"EDY","GTY","120","MAN > MIA"
"EDY","MAN","600","MIA > LIV"
"EFF","BKA","180","GLD > VIC"
"EFF","CSD","180","GLD > WAT"
"EFF","HSY","180","WAT > GLD"
"EFL","MDW","300","TON > SOO"
"EFL","WTR","300","SOO > TON"
"EGF","GRF","120","YRK > LDS"
"EGF","MIK","180","PRE > YRK"
"EGG","KGN","360","EXM > BNP"
"EGG","LAP","360","BNP > EXM"
"EGH","SNS","300","RDG > WAT"
"EGH","VIR","240","WAT > WYB"
"EGN","GBD","300","YRK > HUL"
"EGR","DMS","240","EGR > VIC"
"EGT","GLS","240","WTB > MBR"
"ELD","RDH","240","HRH > RDH"
"ELD","SAF","240","LBG > HRH"
"ELE","CLK","120","HYS > CHX"
"ELE","HYS","600","CHX > HYS"
"ELP","OVE","180","ELP > ELP"
"ELR","CLN","300","HUD > SHF"
"ELR","WOM","180","SHF > LDS"
"ELS","MIL","240","LUT > SUO"
"ELS","RDT","240","SEV > SAC"
"ELS","SAC","540","BMS > SAC"
"ELW","FCN","120","CHX > DFD"
"ELW","KDB","180","DFD > VIC"
"ELY","BND","960","CBG > NRW"
"ELY","BSE","1560","PBO > IPS"
"ELY","CMB","720","NRW > CBG"
"ELY","LTP","420","KGX > KLN"
"ELY","MCH","1020","SSD > BHM"
"ELY","MNE","660","IPS > PBO"
"ELY","TTF","1320","LIV > NRW"
"ELY","WBC","540","KLN > KGX"
"EMD","BEE","480","LEI > LCN"
"EMD","DBY","840","COR > DBY"
"EMD","LBO","480","LCN > LEI"
"EMD","LEI","840","NOT > STP"
"EMD","NOT","720","STP > NOT"
"EML","BMG","180","VIC > AFK"
"EML","WMA","180","CBW > VIC"
"EMP","RMF","300","UPM > RMF"
"EMP","UPM","300","RMF > UPM"
"EMS","CCH","540","PMH > HRH"
"EMS","HAV","240","BTN > SOU"
"EMS","SOB","180","SOU > HRH"
"EMS","WBL","180","LIT > PMS"
"ENL","AGR","300","BIS > SRA"
"ENL","BMD","120","HFE > SRA"
"ENT","BMC","360","CLH > MCV"
"ENT","DWN","420","MCV > CLH"
"EPH","BFR","240","SEV > WHP"
"EPH","DMK","360","SAC > SEV"
"EPH","HNH","420","SAC > SUO"
"EPH","LGJ","300","LUT > SUO"
"EPH","QPW","1620","EPH > SBP"
"EPS","AHD","240","VIC > HRH"
"EPS","EWE","240","GLD > VIC"
"EPS","EWW","180","EPS > WAT"
"ERA","BOM","180","ELP > ELP"
"ERA","HOO","120","ELP > ELP"
"ERD","BHM","780","FOK > BHM"
"ERD","CRD","120","RDC > FOK"
"ERD","GVH","120","LTV > RDC"
"ERH","BVD","120","GLM > CHX"
"ERI","AHS","300","UCK > LBG"
"ERI","COH","360","LBG > UCK"
"ERL","NLW","120","LIV > MCV"
"ERL","SHJ","240","MCV > LIV"
"ERL","WBQ","600","LIV > WBQ"
"ESD","CIT","180","CHX > SEV"
"ESD","GRP","180","SEV > CHX"
"ESH","SUR","240","FNH > WAT"
"ESL","CFR","300","SAL > ROM"
"ESL","SHW","360","SOU > WAT"
"ESL","SOA","240","WAT > POO"
"ESL","WIN","480","PMH > BSK"
"ESW","SMK","540","CBG > IPS"
"ESW","TRS","300","HPQ > CBG"
"ETC","RBR","240","CHX > HGS"
"ETC","SOG","300","ORE > CHX"
"EUS","HRW","720","EUS > TRI"
"EUS","LBZ","1740","EUS > NMP"
"EUS","MKC","1800","EUS > MAN"
"EUS","SOH","360","EUS > WFJ"
"EUS","WFJ","840","EUS > BHM"
"EVE","HYB","420","WOF > PAD"
"EVE","PSH","480","PAD > HFD"
"EVE","WOS","900","OXF > GMV"
"EWD","TLK","180","SBJ > SAV"
"EWD","WYT","180","SAV > SBJ"
"EWE","CHE","180","GLD > VIC"
"EWE","EPS","240","LBG > EPS"
"EWR","LAC","180","BOG > BTN"
"EWR","WRH","120","BTN > WWO"
"EWW","SNL","120","EPS > WAT"
"EXC","DIG","300","BNP > EXM"
"EXC","EXD","180","SAL > EXD"
"EXC","PIN","300","EXD > WAT"
"EXC","SJP","120","PGN > EXM"
"EXD","CDI","600","EXM > BNP"
"EXD","DWL","660","MAN > PGN"
"EXD","EXC","180","PGN > EXM"
"EXD","EXT","120","EXM > PGN"
"EXD","TAU","1380","PGN > PAD"
"EXD","TVP","840","PNZ > PAD"
"EXM","LYM","240","EXM > PGN"
"EXN","LYC","120","PGN > EXM"
"EXN","TOP","300","EXM > PGN"
"EXT","DWL","720","EXC > PGN"
"EXT","EXD","240","PGN > EXM"
"EXT","SCS","480","EXM > PGN"
"EYN","SAY","300","SEV > WHP"
"EYN","SEH","240","LUT > SEV"
"FAV","CBE","660","VIC > DVP"
"FAV","SIT","420","RAM > VIC"
"FAV","TEY","360","DVP > VIC"
"FAV","WHI","480","VIC > RAM"
"FAZ","KIR","240","LVC > KIR"
"FAZ","RIL","180","KIR > LVC"
"FBY","FRE","120","HNX > SOP"
"FBY","HTO","240","SOP > LVC"
"FCN","ELW","120","DFD > VIC"
"FCN","WLI","180","CHX > DFD"
"FEA","POT","240","WKK > KNO"
"FEA","SHC","240","KNO > WKK"
"FEL","AFS","240","WAT > WYB"
"FEL","HOU","300","WYB > WAT"
"FEL","SNS","360","WAT > RDG"
"FEL","TWI","300","RDG > WAT"
"FEN","BLY","180","BDM > BLY"
"FEN","BWB","240","BLY > BDM"
"FFD","AVF","180","GMV > WSB"
"FFD","BTH","600","WEY > BRI"
"FGT","IFI","240","HRH > RDH"
"FGT","LVN","240","LBG > HRH"
"FIL","HUB","300","SCA > HUL"
"FIL","SEM","660","GBD > SCA"
"FIT","BPW","360","SOU > GMV"
"FIT","BRI","480","BPW > TAU"
"FIT","SRD","360","GMV > WSB"
"FKC","DVP","780","CHX > DVP"
"FKC","FKW","120","RAM > CHX"
"FKW","FKC","120","CHX > DVP"
"FKW","SDG","300","RAM > CHX"
"FLE","BSK","660","WAT > POO"
"FLE","FNB","300","SOU > WAT"
"FLE","WNF","300","WAT > BSK"
"FLF","GUI","360","MAN > MAN"
"FLF","NWN","120","MAN > MAN"
"FLI","CSR","120","LIV > MCO"
"FLI","IRL","240","MCO > LIV"
"FLM","MRY","180","BIF > CAR"
"FLM","WKG","420","CAR > WTH"
"FLT","BDM","720","SEV > BDM"
"FLT","HLN","240","BDM > TBD"
"FLT","LUT","660","BDM > EPH"
"FLW","HMP","240","WAT > SHP"
"FLW","STW","120","SHP > WAT"
"FLX","TRM","180","FLX > IPS"
"FML","AHV","360","ACT > GLD"
"FML","CAM","240","GLD > ACT"
"FMR","LWS","420","BTN > SEF"
"FMR","MCB","180","ORE > BTN"
"FNB","BKO","420","SOU > WAT"
"FNB","FLE","300","WAT > BSK"
"FNC","GLD","300","HSL > GLD"
"FNC","GOD","120","WAT > HSL"
"FNH","AHT","360","AON > WAT"
"FNH","BTY","360","WAT > AON"
"FNN","BAW","240","SFR > RDG"
"FNN","NCM","180","RDG > SFR"
"FNR","LGF","240","VIC > RTR"
"FNR","SAY","300","GLM > VIC"
"FNT","HON","360","EXD > WAT"
"FNT","WHM","300","SAL > EXD"
"FNV","NMN","180","BUX > MAN"
"FNV","WBR","180","MAN > BUX"
"FNW","KSL","120","WGW > MCV"
"FNW","MSS","180","BBN > WGW"
"FNY","HDH","180","RMD > SRA"
"FNY","WHD","120","SRA > RMD"
"FOD","ANG","360","SOU > BTN"
"FOD","ARU","300","BOG > VIC"
"FOD","BAA","300","BTN > SOU"
"FOD","LIT","240","PMH > LIT"
"FOH","HPA","180","CAT > LBG"
"FOH","SYD","120","LBG > VIC"
"FOK","BUL","180","RDC > LTV"
"FOK","SUT","240","LTV > RDC"
"FOX","GNR","240","BIF > CAR"
"FOX","KBF","300","CAR > BIF"
"FPK","CRH","480","SVS > GPO"
"FPK","HRY","540","GPO > SVS"
"FPK","KGX","600","PBO > KGX"
"FPK","PBR","540","KGX > WGC"
"FPK","SVG","1080","KGX > CBG"
"FRD","RUE","300","CTR > MAN"
"FRE","ANS","240","HNX > SOP"
"FRE","FBY","120","SOP > LVC"
"FRF","ABY","240","RSH > MAN"
"FRI","KBX","180","WON > COL"
"FRI","WON","240","WTM > WON"
"FRM","BOE","480","PMH > BSK"
"FRM","CSA","480","SOU > BTN"
"FRM","PTC","300","SOU > PMS"
