"from","to","time","train"
"AWK","SES","360","DON > LDS"
"AWM","BDK","300","CBG > KGX"
"AWM","RYS","300","KGX > CBG"
"AWT","LZB","420","CAR > LDS"
"AXM","CKN","720","EXD > WAT"
"AXM","HON","720","SAL > EXD"
"AYH","ADM","180","DVP > VIC"
"AYL","MDB","300","SOO > TON"
"AYL","NHE","120","TON > SOO"
"AYP","BXY","180","CHX > GRV"
"AYP","SID","120","CRY > CHX"
"AYS","AVP","720","MYB > AVP"
"AYS","LTK","480","AYS > PRR"
"AYS","SKM","240","AVP > MYB"
"BAA","ANG","540","PMH > BTN"
"BAA","BOG","480","BTN > BOG"
"BAA","CCH","480","BTN > SOU"
"BAA","FOD","300","PMH > LIT"
"BAA","HRH","1620","SOU > HRH"
"BAB","TBD","420","BTN > LBG"
"BAC","CPU","360","CTR > LVC"
"BAC","CTR","540","CTR > CTR"
"BAG","ACT","420","GLD > ACT"
"BAG","CAM","360","ACT > GLD"
"BAH","BOT","120","HNX > SOP"
"BAH","SDL","240","SOP > LVC"
"BAK","CLJ","180","VIC > SUO"
"BAK","VIC","480","CAT > VIC"
"BAL","CLJ","240","GLD > VIC"
"BAL","MTC","420","VIC > SUO"
"BAL","SRC","240","MKC > ECR"
"BAL","SRH","180","VIC > LBG"
"BAL","WSW","120","CAT > VIC"
"BAM","HOP","240","SHF > MAN"
"BAN","BCS","660","SAV > MYB"
"BAN","KGS","300","BAN > MYB"
"BAN","LMS","900","BMH > MAN"
"BAN","MYB","3420","KID > MYB"
"BAN","OXF","1080","MAN > BMH"
"BAR","LAN","420","MCM > LAN"
"BAR","MCM","300","LDS > MCM"
"BAS","BFE","300","GSL > PLY"
"BAS","CSK","420","PLY > GSL"
"BAT","RBR","420","ORE > CHX"
"BAT","SLQ","600","CHX > HGS"
"BAU","BAV","300","BAU > CLE"
"BAV","BAU","480","CLE > BAU"
"BAV","NHL","240","BAU > CLE"
"BAW","FNN","240","RDG > SFR"
"BAW","SND","180","SFR > RDG"
"BAW","WKM","420","RDH > RDG"
"BBK","CSL","120","BHM > SHR"
"BBK","WVH","420","SHR > BHM"
"BBL","OTF","300","SEV > WHP"
"BBL","SEV","180","LUT > SEV"
"BBN","ACR","420","PRE > YRK"
"BBN","DWN","420","CLH > MCV"
"BBN","MLH","180","CNE > PRE"
"BBN","PRE","1140","YRK > PRE"
"BBN","RGW","360","MCV > CLH"
"BBN","RIS","300","PRE > CNE"
"BBW","HOY","180","HUD > SHF"
"BBW","LCK","180","SHF > HUD"
"BCB","NLN","120","MCV > SOP"
"BCB","PBL","240","SOP > MIA"
"BCB","SOP","900","MIA > SOP"
"BCC","BRP","480","LWT > IPS"
"BCC","OUS","600","IPS > LWT"
"BCE","MAO","180","RDG > WAT"
"BCE","WKM","360","WAT > RDG"
"BCF","HWY","720","MYB > HWY"
"BCF","MYB","1500","PRR > MYB"
"BCF","SRG","180","HWY > MYB"
"BCH","HNB","540","RAM > VIC"
"BCH","WGA","240","VIC > RAM"
"BCJ","OMS","480","PRE > OMS"
"BCJ","RUF","360","OMS > PRE"
"BCS","HDM","660","SAV > MYB"
"BCS","HWY","1380","BAN > MYB"
"BCS","KGS","660","MYB > BAN"
"BCU","ANF","420","POO > WAT"
"BCU","BMH","840","MAN > BMH"
"BCU","SOU","780","WEY > WAT"
"BCU","SWY","240","WAT > POO"
"BCY","HPA","180","LBG > VIC"
"BCY","NXG","180","CAT > LBG"
"BDA","BGA","180","GYM > NRW"
"BDA","CNY","360","NRW > LWT"
"BDA","NRW","600","LWT > NRW"
"BDB","DTG","360","MAN > MAN"
"BDB","HTY","180","MAN > MAN"
"BDH","HAV","120","PMH > LIT"
"BDH","HLS","360","LIT > PMS"
"BDI","HFX","720","SBY > MCV"
"BDI","LMR","360","SBY > HUD"
"BDI","NPD","480","PRE > YRK"
"BDK","AWM","300","KGX > CBG"
"BDK","LET","180","CBG > KGX"
"BDL","HIL","120","SOP > LVC"
"BDL","SOP","300","HNX > SOP"
"BDM","BSJ","180","BDM > BLY"
"BDM","FLT","600","BDM > TBD"
"BDM","LEA","900","BDM > SUO"
"BDM","LUT","840","DBY > STP"
"BDM","WEL","660","STP > COR"
"BDN","RYR","420","SHN > RYP"
"BDN","SAN","240","RYP > SHN"
"BDQ","FZH","180","BDQ > SKI"
"BDT","BEM","360","GBD > SCA"
"BDT","NFN","660","SCA > HUL"
"BDW","HGD","300","BDW > PAD"
"BDY","BNT","120","SHF > MAN"
"BDY","RML","180","MAN > MPL"
"BEB","PSL","120","ELP > ELP"
"BEB","RFY","240","ELP > ELP"
"BEC","BGM","120","SEV > WHP"
"BEC","RVB","120","LUT > SEV"
"BEE","ATB","180","NCT > MAT"
"BEE","EMD","420","LCN > LEI"
"BEE","LGE","540","NOT > BHM"
"BEE","NOT","600","MAT > NCT"
"BEG","PDW","240","SOO > TON"
"BEG","YAL","240","TON > SOO"
"BEH","BEP","240","COV > NUN"
"BEH","CAA","300","NUN > COV"
"BEM","BDT","420","SCA > HUL"
"BEM","HUB","600","GBD > SCA"
"BEN","WNN","300","LDS > MCM"
"BEP","BEH","240","NUN > COV"
"BEP","NUN","300","COV > NUN"
"BER","CLV","300","SAV > LMS"
"BES","MEC","300","MCV > SOP"
"BEV","ARR","240","HUL > BDT"
"BEV","CGM","360","SCA > HUL"
"BEV","HUT","540","SHF > BDT"
"BEX","CLL","120","ORE > HHE"
"BEX","EBN","900","AFK > BTN"
"BEX","SLQ","420","VIC > HGS"
"BEY","BUW","240","ILK > LDS"
"BEY","ILK","360","BDQ > ILK"
"BFD","KWB","120","WYB > WAT"
"BFD","SYL","120","WAT > WYB"
"BFE","BAS","420","PLY > GSL"
"BFE","SBV","480","GSL > PLY"
"BFN","WYB","180","FNH > WAT"
"BFR","BMS","1080","SAC > BMS"
"BFR","CTK","120","SEV > WHP"
"BFR","ECR","1500","BDM > TBD"
"BFR","EPH","180","SAC > SUO"
"BFR","HNH","540","BDM > SUO"
"BGA","BDA","180","NRW > LWT"
"BGA","NRW","720","GYM > NRW"
"BGE","ROB","240","LIV > WGN"
"BGE","WAV","240","MIA > LIV"
"BGH","HUD","720","SBY > HUD"
"BGH","MIR","480","HBD > LDS"
"BGL","ROC","240","PAR > NQY"
"BGM","BEC","120","LUT > SEV"
"BGM","CTF","180","SEV > WHP"
"BHI","BHM","600","BMH > MAN"
"BHI","COV","600","MAN > BMH"
"BHI","HIA","180","BHM > NMP"
"BHI","MGN","180","EUS > BHM"
"BHM","AST","300","RDC > LTV"
"BHM","BHI","540","MAN > BMH"
"BHM","CEH","780","BHM > LEI"
"BHM","CNM","2520","MAN > PGN"
"BHM","CSY","660","BHM > LIV"
"BHM","DBY","2100","WIN > NCL"
"BHM","DUD","240","RDC > FOK"
"BHM","FWY","180","LTV > RDC"
"BHM","MGN","540","BHM > EUS"
"BHM","SAD","480","BHM > SHR"
"BHM","SCF","360","BHM > NMP"
"BHM","SGB","360","WSL > LIV"
"BHM","SMR","360","WSL > WVH"
"BHM","SUT","780","RDC > LIC"
"BHM","TAB","660","BHM > RGL"
"BHM","TAM","960","BHM > NOT"
"BHM","UNI","360","BHM > HFD"
"BHM","WVH","1020","BMH > MAN"
"BHS","HOY","120","SHF > HUD"
"BHS","SSM","240","HUD > SHF"
"BIA","SHD","300","BIA > SLB"
"BID","BKN","120","WKI > WKI"
"BID","LSW","120","WKI > WKI"
"BIF","ASK","600","BIF > CAR"
"BIF","ROO","240","BIF > PRE"
"BIG","CHH","360","BOG > VIC"
"BIG","PUL","420","HRH > BOG"
"BIK","BKJ","240","LBG > BKJ"
"BIK","CYP","240","BKJ > TUH"
"BIL","SEC","360","MBR > HEX"
"BIL","STK","420","HEX > MBR"
"BIN","ALK","240","NOT > SKG"
"BIN","RDF","300","SKG > NOT"
"BIP","NVH","180","SEF > VIC"
"BIP","SEF","180","BTN > SEF"
"BIS","SAW","300","BIS > SRA"
"BIT","HDM","720","OXF > MYB"
"BIT","OXP","480","MYB > OXF"
"BIW","ARL","300","PBO > KGX"
"BIW","SDY","240","KGX > PBO"
"BIY","CFL","120","BDQ > SKI"
"BIY","KEI","300","LDS > MCM"
"BIY","SAE","300","SKI > LDS"
"BIY","SHY","360","CAR > LDS"
"BKA","LHD","360","GLD > VIC"
"BKC","BKQ","120","ELP > ELP"
"BKC","GNL","120","ELP > ELP"
"BKD","HAG","180","WOF > WTE"
"BKD","KID","300","LMS > WOS"
"BKH","CTN","300","CHX > GLM"
"BKH","DFD","1140","VIC > DFD"
"BKH","KDB","180","CHX > DFD"
"BKH","LBG","780","BNH > CHX"
"BKH","LEW","180","GLM > CHX"
"BKJ","BIK","180","BKJ > TUH"
"BKJ","BMS","360","VIC > ORP"
"BKJ","KTH","180","ORP > VIC"
"BKL","BMS","180","SEV > WHP"
"BKL","SMY","240","LUT > SEV"
"BKM","HML","240","NMP > EUS"
"BKM","TRI","420","SCY > MKC"
"BKN","BID","180","WKI > WKI"
"BKN","BKP","120","WKI > WKI"
"BKN","WLV","300","NBN > NBN"
"BKO","AHV","480","WAT > AON"
"BKO","FNB","420","WAT > BSK"
"BKO","WOK","300","SOU > WAT"
"BKP","BKN","120","WKI > WKI"
"BKP","CNP","180","WKI > WKI"
"BKQ","BKC","120","ELP > ELP"
"BKQ","CNP","120","WKI > WKI"
"BKQ","LVJ","180","ELP > ELP"
"BKS","CBE","300","DVP > VIC"
"BKT","BUL","120","LTV > RDC"
"BKT","LIC","540","RDC > LIC"
"BKT","SEN","240","RDC > LTV"
"BKW","BHI","300","EUS > BHM"
"BKW","HIA","240","COV > BHM"
"BKW","THL","180","BHM > NMP"
"BLB","SOF","240","WIC > SMN"
"BLB","WIC","360","SMN > WIC"
"BLD","GSY","300","BDQ > ILK"
"BLD","SHY","180","ILK > BDQ"
"BLE","LDS","540","MCV > LDS"
"BLE","NPD","240","SBY > MCV"
"BLK","HWI","240","PRE > HUD"
"BLL","HWH","420","NCL > CAR"
"BLN","HLR","120","HNX > SOP"
"BLN","WLO","180","SOP > LVC"
"BLO","MCE","300","HEX > MBR"
"BLO","WYM","360","MBR > HEX"
"BLP","AMB","360","NCT > MAT"
"BLP","DFI","240","MAT > NCT"
"BLV","ABY","300","MPL > MAN"
"BLV","RRB","120","MAN > MPL"
"BLW","HKN","300","NOT > WRK"
"BLW","NOT","780","WRK > NOT"
"BLX","BWN","120","BHM > RGL"
"BLX","WSL","420","RGL > BHM"
"BLY","FEN","180","BLY > BDM"
"BLY","LBZ","360","NMP > EUS"
"BLY","MKC","360","SCY > MKC"
"BMB","LOH","120","CNE > PRE"
"BMB","PLS","480","PRE > CNE"
"BMC","DWN","720","MCV > BBN"
"BMC","ENT","360","MCV > CLH"
"BMC","HID","180","CLH > MCV"
"BMD","NUM","300","HFE > SRA"
"BMF","BUH","300","YRK > HUL"
"BMG","EML","180","CBW > VIC"
"BMG","MDE","240","VIC > AFK"
"BMH","BCU","900","WEY > WAT"
"BMH","BSM","300","WAT > POO"
"BMH","POK","240","POO > WAT"
"BML","CHU","240","SOT > MAN"
"BML","PYT","180","MAN > SOT"
"BMN","SUP","120","BMN > GRP"
"BMO","ACG","360","SBJ > DDG"
"BMO","BSW","120","SAV > BSW"
"BMO","SMA","180","WOF > WTE"
"BMO","SOL","480","KID > MYB"
"BMO","SRI","360","SBJ > WTE"
"BMP","WRL","600","NCL > CAR"
"BMR","BOM","120","ELP > ELP"
"BMR","SPI","120","ELP > ELP"
"BMS","BKL","180","LUT > SEV"
"BMS","CFT","420","GLM > VIC"
"BMS","DMK","720","RTR > VIC"
"BMS","LGF","780","VIC > RAM"
"BMS","PET","420","VIC > ORP"
"BMS","SMY","360","VIC > RTR"
"BMS","SRT","180","SEV > WHP"
"BMS","VIC","1020","CBW > VIC"
"BMT","BRI","240","TAU > BPW"
"BMT","PSN","120","BPW > TAU"
"BMV","DTW","540","BHM > HFD"
"BMV","UNI","1020","HFD > BHM"
"BMY","BSK","540","RDG > BSK"
"BMY","MOR","300","BSK > RDG"
"BNA","EDY","120","MAN > MIA"
"BNA","MAU","120","MIA > MAN"
"BNC","BRF","300","PRE > CNE"
"BNC","BUB","180","CNE > PRE"
"BND","ELY","1140","NRW > CBG"
"BND","TTF","480","CBG > NRW"
"BNE","COO","240","MLW > MAI"
"BNE","MLW","420","BNE > MLW"
"BNH","BXH","120","DFD > VIC"
"BNH","DFD","660","CHX > DFD"
"BNI","BNS","180","WYB > WAT"
"BNI","CHK","240","WAT > WYB"
"BNM","SLO","420","RDG > PAD"
"BNM","TAP","180","PAD > RDG"
"BNP","UMB","480","BNP > EXM"
"BNS","BNI","120","WAT > WYB"
"BNS","MTL","120","WAT > WAT"
"BNS","PUT","180","WYB > WAT"
"BNT","BDY","180","MAN > MPL"
"BNT","RDN","180","SHF > MAN"
"BNW","BOT","60","SOP > LVC"
"BNW","SFL","120","HNX > SOP"
"BNY","DOD","360","SHF > HUD"
"BNY","DRT","300","SHF > LDS"
"BNY","MHS","900","LDS > SHF"
"BNY","WKK","900","NOT > LDS"
"BNY","WOM","300","HUD > SHF"
"BOA","AVF","180","WEY > BRI"
"BOA","TRO","360","GMV > WSB"
"BOC","RAV","360","BIF > CAR"
"BOC","SIC","480","CAR > BIF"
"BOD","LSK","660","PNZ > PAD"
"BOE","HDE","240","PMH > BSK"
"BOG","BAA","360","BOG > BAA"
"BOH","FSB","180","SOU > HRH"
"BOH","NUT","180","LIT > PMS"
"BOM","BMR","120","ELP > ELP"
"BOM","ERA","120","ELP > ELP"
"BON","HID","300","MCV > CLH"
"BON","HWI","360","MIA > BIF"
"BON","LOT","300","HAZ > PRE"
"BON","MCO","960","PRE > MCO"
"BON","MSS","180","WGW > MCV"
"BON","SLD","780","CLH > MCV"
"BON","WGW","1020","BBN > WGW"
"BON","WHG","480","HUD > WGW"
"BOT","BAH","120","SOP > LVC"
"BOT","BNW","120","HNX > SOP"
"BPB","BPS","240","PRE > BPS"
"BPN","LAY","600","BPN > PRE"
"BPS","SAS","720","BPS > PRE"
"BPW","BRI","780","MAN > PGN"
"BPW","FIT","240","GMV > WSB"
"BPW","YAE","540","SOU > GMV"
"BRF","BNC","300","CNE > PRE"
"BRF","NEL","180","PRE > CNE"
"BRG","KMS","240","CBW > VIC"
"BRG","WMA","360","VIC > AFK"
"BRI","BMT","120","BPW > TAU"
"BRI","BTH","660","PNZ > PAD"
"BRI","FIT","420","SOU > GMV"
"BRI","KYN","360","GMV > WSB"
"BRI","LWH","180","TAU > BPW"
"BRI","OLF","660","BRI > WSB"
"BRI","TAU","1860","PAD > PGN"
